Joshua Project People Group Data

PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
10350,AA,pap,0,Papiamentu,Papiamentu,P,84408
11659,AA,nld,0,Dutch,Dutch,P,4276
12035,AA,hat,0,"Haitian Creole","Haitian Creole",P,1129
12051,AA,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,849
12316,AA,jam,0,"Jamaican English Creole","Jamaican English Creole",P,576
15175,AA,tgl,0,Tagalog,Tagalog,P,846
15741,AA,eng,0,English,English,P,550
19007,AA,xxx,0,Unknown,"Language unknown",P,796
19209,AA,spa,0,Spanish,Spanish,P,11638
10348,AC,aig,0,"Leeward Caribbean English Creole","Leeward Caribbean English Creole",S,
10348,AC,eng,0,English,English,P,
11140,AC,eng,0,English,English,P,3177
13862,AC,aig,0,"Leeward Caribbean English Creole","Leeward Caribbean English Creole",P,2663
15741,AC,eng,0,English,English,P,10410
19007,AC,xxx,0,Unknown,"Language unknown",P,472
10376,AE,afb,0,"Arabic, Gulf","Arabic, Gulf",P,
10378,AE,acx,0,"Arabic, Omani","Arabic, Omani",P,293870
10429,AE,hyw,0,"Armenian, Western","Armenian, Western",P,2945
10790,AE,ben,7966,Bengali,"Bengali: Siripuria",P,73786
11277,AE,tha,0,Thai,Thai,P,3163
11359,AE,rhg,0,Rohingya,Rohingya,P,49085
11597,AE,afb,0,"Arabic, Gulf","Arabic, Gulf",P,504
11722,AE,arz,0,"Arabic, Egyptian","Arabic, Egyptian",P,978384
12046,AE,afb,0,"Arabic, Gulf","Arabic, Gulf",P,186520
12076,AE,haz,0,Hazaragi,Hazaragi,P,96997
12247,AE,acm,0,"Arabic, Mesopotamian","Arabic, Mesopotamian",P,49085
12322,AE,jpn,0,Japanese,Japanese,P,
12368,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,25129
13017,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,26505
13169,AE,ayl,0,"Arabic, Libyan","Arabic, Libyan",P,44130
13317,AE,npi,0,Nepali,Nepali,P,96205
13437,AE,zlm,0,Malay,Malay,P,28709
14256,AE,pbu,0,"Pashto, Northern","Pashto, Northern",P,382789
14276,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,98169
14327,AE,pbt,0,"Pashto, Southern","Pashto, Southern",P,141361
14371,AE,pes,0,"Persian, Iranian","Persian, Iranian",P,306028
14784,AE,acw,0,"Arabic, Hijazi","Arabic, Hijazi",P,373697
14908,AE,ssh,0,"Arabic, Shihhi","Arabic, Shihhi",P,19190
14971,AE,sqt,0,Soqotri,Soqotri,P,15180
14983,AE,som,0,Somali,Somali,P,40206
15034,AE,bcc,0,"Balochi, Southern","Balochi, Southern",P,382789
15104,AE,apd,0,"Arabic, Sudanese","Arabic, Sudanese",P,71771
15145,AE,swh,0,Swahili,Swahili,P,5203
15152,AE,apc,0,"Arabic, Levantine","Arabic, Levantine",P,47611
15175,AE,tgl,0,Tagalog,Tagalog,P,
15198,AE,acq,3364,"Arabic, Ta'izzi-Adeni","Arabic, Ta'izzi-Adeni: Ta'izzi",P,55185
17433,AE,mal,0,Malayalam,Malayalam,P,
18274,AE,tur,0,Turkish,Turkish,P,9863
19007,AE,xxx,0,Unknown,"Language unknown",P,19182
19206,AE,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,31683
19211,AE,hin,0,Hindi,Hindi,P,
19211,AE,urd,0,Urdu,Urdu,S,
10453,AF,ask,0,Ashkun,Ashkun,P,53804
10528,AF,azj,0,"Azerbaijani, North","Azerbaijani, North",P,14155
10703,AF,bsh,3341,Kateviri,"Kateviri: Kiti",P,160776
10959,AF,brh,0,Brahui,Brahui,P,359191
