ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
AF,Afghanistan,14372,107989,"Afghan, Tajik","Afghan, Tajik",11983000,1,Y,prs,Dari,5,6,Islam,0.010,0.010,14,A005,Persian-Median,299,C0211,Tajik,4,5,"Asia, Central",ASI,Asia,Y,Y,240,Y,31.15621,62.14612
AF,Afghanistan,19409,100096,Afshari,Afshari,16000,1,Y,azb,"Azerbaijani, South",5,6,Islam,0.039,0.039,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.447959999954,69.289760000024
AF,Afghanistan,21454,118270,Aimaq,Aimaq,1777000,1,Y,aiq,Aimaq,0,6,Islam,0.000,0.000,14,A005,Persian-Median,268,C0179,Persian,5,5,"Asia, Central",ASI,Asia,Y,Y,36,Y,35.00501,63.128594
AF,Afghanistan,16221,111334,Ansari,Ansari,2700,1,Y,urd,Urdu,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",452,A012,"South Asia Muslim - Ansari",6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.547769999985,69.31980000037
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",20000,1,Y,abh,"Arabic, Tajiki",1,6,Islam,0.200,0.200,10,A001,"Arab World",324,C0237,"Arab World, general",2,5,"Asia, Central",ASI,Asia,Y,N,1,N,36.9447,66.80422
AF,Afghanistan,16239,111360,"Arora (Hindu traditions)","Arora (Hindu traditions)",1700,1,Y,skr,Saraiki,4,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.187213,70.980606
AF,Afghanistan,10528,100675,Azerbaijani,Azerbaijani,14000,1,Y,azj,"Azerbaijani, North",5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,20,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.4501,69.61334
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",521000,1,Y,bgn,"Balochi, Western",3,6,Islam,0.009,0.009,21,A012,"South Asian Peoples",455,A012,Baloch,4,5,"Asia, Central",ASI,Asia,Y,Y,10,Y,30.24139,63.20176
AF,Afghanistan,19423,115168,"Bania (Muslim traditions)","Bania (Muslim traditions)",7200,1,Y,urd,Urdu,5,6,Islam,0.230,0.200,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",1,5,"Asia, Central",ASI,Asia,Y,N,1,N,34.375787,69.435276
AF,Afghanistan,13761,106706,"Bengali Muslim Moghal","Bengali Muslim Moghal",2500,1,Y,prs,Dari,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",6,5,"Asia, Central",ASI,Asia,Y,Y,1,Y,34.236262608433,62.275921783264
